iter	Passed	Remaining
440	1282	1626
441	1285	1622
442	1288	1619
443	1290	1616
444	1292	1612
445	1294	1608
446	1297	1605
447	1300	1602
448	1302	1598
449	1305	1595
450	1307	1591
451	1309	1587
452	1312	1584
453	1314	1580
454	1316	1577
455	1318	1573
456	1321	1569
457	1324	1567
458	1327	1564
459	1329	1560
460	1331	1557
461	1334	1553
462	1336	1549
463	1338	1546
464	1340	1542
465	1342	1538
466	1345	1535
467	1347	1531
468	1349	1528
469	1352	1524
470	1354	1520
471	1356	1517
472	1358	1513
473	1360	1510
474	1363	1506
475	1365	1502
476	1367	1499
477	1369	1495
478	1372	1492
479	1375	1489
480	1377	1486
481	1379	1482
482	1381	1479
483	1384	1475
484	1386	1472
485	1389	1469
486	1391	1465
487	1393	1462
488	1396	1458
489	1398	1455
490	1400	1452
491	1403	1448
492	1405	1445
493	1407	1441
494	1409	1438
495	1412	1434
496	1416	1433
497	1419	1430
498	1421	1427
499	1423	1423
500	1426	1420
501	1428	1417
502	1430	1413
503	1433	1410
504	1435	1407
505	1437	1403
506	1440	1400
507	1442	1396
508	1444	1393
509	1446	1390
510	1449	1387
511	1451	1383
512	1453	1380
513	1456	1376
514	1458	1373
515	1459	1369
516	1462	1366
517	1464	1362
518	1466	1359
519	1469	1356
520	1471	1352
521	1475	1350
522	1477	1347
523	1479	1344
524	1482	1341
525	1484	1338
526	1487	1334
527	1489	1331
528	1491	1328
529	1494	1325
530	1497	1322
531	1499	1319
532	1502	1316
533	1505	1314
534	1507	1310
535	1510	1307
536	1512	1304
537	1514	1300
538	1517	1297
539	1520	1295
540	1523	1292
541	1525	1288
542	1527	1285
543	1529	1282
544	1532	1279
545	1535	1276
546	1538	1273
547	1540	1270
548	1542	1267
549	1544	1264
550	1547	1260
551	1550	1258
552	1552	1254
553	1554	1251
554	1557	1248
555	1559	1245
556	1561	1241
557	1563	1238
558	1565	1235
559	1568	1232
560	1571	1229
561	1573	1226
562	1575	1223
563	1577	1219
564	1581	1217
565	1583	1214
566	1585	1211
567	1588	1207
568	1590	1204
569	1592	1201
570	1595	1198
571	1597	1195
572	1599	1191
573	1601	1188
574	1604	1185
575	1609	1184
576	1611	1181
577	1617	1180
578	1620	1178
579	1622	1175
580	1629	1175
581	1632	1172
582	1634	1169
583	1637	1166
584	1642	1165
585	1645	1162
586	1648	1159
587	1651	1157
588	1653	1154
589	1656	1151
590	1658	1147
591	1660	1144
592	1663	1141
593	1665	1138
594	1668	1135
595	1671	1132
596	1673	1129
597	1675	1126
598	1677	1123
599	1679	1119
600	1682	1116
601	1684	1113
602	1686	1110
603	1688	1106
604	1691	1104
605	1694	1101
606	1696	1098
607	1698	1095
608	1702	1093
609	1704	1089
610	1707	1086
611	1709	1083
612	1711	1080
613	1714	1077
614	1715	1074
615	1718	1071
616	1721	1068
617	1723	1065
618	1725	1061
619	1727	1058
620	1730	1055
621	1731	1052
622	1734	1049
623	1737	1046
624	1739	1043
625	1741	1040
626	1743	1037
627	1746	1034
628	1748	1031
629	1750	1028
630	1752	1025
631	1755	1022
632	1758	1019
633	1761	1017
634	1764	1014
635	1767	1011
636	1769	1008
637	1772	1005
638	1774	1002
639	1776	999
640	1778	995
641	1781	993
642	1783	990
643	1785	987
644	1787	984
645	1791	981
646	1793	978
647	1796	975
648	1798	972
649	1801	969
650	1803	966
651	1807	964
652	1810	961
653	1812	958
654	1814	955
655	1817	952
656	1819	949
657	1821	946
658	1823	943
659	1825	940
660	1827	937
661	1829	934
662	1832	931
663	1834	928
664	1836	925
665	1839	922
666	1842	919
667	1844	916
668	1846	913
669	1849	910
670	1851	907
671	1853	904
672	1857	902
673	1859	899
674	1861	896
675	1864	893
676	1866	890
677	1868	887
678	1871	884
679	1874	882
680	1876	879
681	1879	876
682	1881	873
683	1883	869
684	1885	867
685	1887	864
686	1889	861
687	1892	858
688	1894	855
689	1896	851
690	1898	848
691	1900	845
692	1902	842
693	1905	839
694	1907	837
695	1909	834
696	1911	831
697	1913	827
698	1916	825
699	1918	822
700	1920	819
701	1922	816
702	1924	813
703	1926	810
704	1928	806
705	1930	803
706	1932	800
707	1935	798
708	1937	795
709	1939	792
710	1941	789
711	1944	786
712	1947	783
713	1949	781
714	1952	778
715	1954	775
716	1956	772
717	1959	769
718	1962	766
719	1964	763
720	1966	761
721	1969	758
722	1971	755
723	1973	752
724	1975	749
725	1978	746
726	1980	743
727	1982	740
728	1985	737
729	1987	735
730	1989	732
731	1991	729
732	1993	725
733	1995	723
734	1998	720
735	2001	718
736	2004	715
737	2007	712
738	2009	709
739	2011	706
740	2013	703
741	2017	701
742	2019	698
743	2021	695
744	2024	692
745	2026	689
746	2028	687
747	2032	684
748	2035	681
749	2037	679
750	2039	676
751	2041	673
752	2044	670
753	2046	667
754	2050	665
755	2052	662
756	2055	659
757	2057	656
758	2060	654
759	2062	651
760	2064	648
761	2066	645
762	2068	642
763	2071	639
764	2073	636
765	2075	633
766	2077	631
767	2079	628
768	2082	625
769	2084	622
770	2086	619
771	2089	617
772	2091	614
773	2093	611
774	2096	608
775	2098	605
776	2100	602
777	2102	600
778	2105	597
779	2108	594
780	2111	591
781	2113	589
782	2115	586
783	2117	583
784	2122	581
785	2124	578
786	2126	575
787	2129	572
788	2131	570
789	2133	567
790	2135	564
791	2146	563
792	2148	560
793	2152	558
794	2154	555
795	2156	552
796	2158	549
797	2161	547
798	2163	544
799	2167	541
800	2169	539
801	2172	536
802	2174	533
803	2177	530
804	2179	527
805	2181	525
806	2182	522
807	2185	519
808	2187	516
809	2189	513
810	2191	510
811	2194	508
812	2196	505
813	2199	502
814	2201	499
815	2203	496
816	2205	494
817	2207	491
818	2212	488
819	2214	486
820	2216	483
821	2218	480
822	2221	477
823	2224	475
824	2226	472
825	2230	469
826	2232	467
827	2234	464
828	2237	461
829	2239	458
830	2241	455
831	2243	453
832	2245	450
833	2248	447
834	2250	444
835	2255	442
836	2257	439
837	2259	436
838	2261	434
839	2264	431
840	2266	428
841	2269	425
842	2271	423
843	2274	420
844	2276	417
845	2279	414
846	2281	412
847	2285	409
848	2287	406
849	2290	404
850	2293	401
851	2295	398
852	2300	396
853	2302	393
854	2304	390
855	2305	387
856	2308	385
857	2310	382
858	2312	379
859	2315	376
860	2317	374
861	2320	371
862	2322	368
863	2324	365
864	2328	363
865	2329	360
866	2332	357
867	2334	355
868	2336	352
869	2338	349
870	2341	346
871	2342	343
872	2344	341
873	2346	338
874	2348	335
875	2350	332
876	2353	330
877	2356	327
878	2358	324
879	2360	321
880	2363	319
881	2365	316
882	2367	313
883	2369	310
884	2372	308
885	2374	305
886	2376	302
887	2378	299
888	2380	297
889	2382	294
890	2385	291
891	2388	289
892	2391	286
893	2393	283
894	2395	281
895	2398	278
896	2400	275
897	2403	272
898	2404	270
899	2407	267
900	2409	264
901	2412	262
902	2414	259
903	2416	256
904	2418	253
905	2421	251
906	2423	248
907	2424	245
908	2427	242
909	2429	240
910	2431	237
911	2433	234
912	2436	232
913	2438	229
914	2441	226
915	2443	224
916	2445	221
917	2448	218
918	2449	215
919	2451	213
920	2454	210
921	2456	207
922	2458	205
923	2461	202
924	2464	199
925	2466	197
926	2468	194
927	2471	191
928	2473	189
929	2475	186
930	2477	183
931	2480	180
932	2482	178
933	2485	175
934	2487	172
935	2489	170
936	2492	167
937	2494	164
938	2496	162
939	2499	159
940	2501	156
941	2503	154
942	2506	151
943	2508	148
944	2511	146
945	2514	143
946	2516	140
947	2518	138
948	2521	135
949	2524	132
950	2527	130
951	2529	127
952	2532	124
953	2534	122
954	2536	119
955	2539	116
956	2540	114
957	2543	111
958	2546	108
959	2548	106
960	2550	103
961	2552	100
962	2554	98
963	2556	95
964	2558	92
965	2560	90
966	2562	87
967	2565	84
968	2567	82
969	2570	79
970	2573	76
971	2575	74
972	2577	71
973	2580	68
974	2582	66
975	2585	63
976	2588	60
977	2591	58
978	2593	55
979	2595	52
980	2599	50
981	2602	47
982	2604	45
983	2606	42
984	2609	39
985	2611	37
986	2613	34
987	2616	31
988	2619	29
989	2620	26
990	2622	23
991	2624	21
992	2627	18
993	2628	15
994	2629	13
995	2631	10
996	2634	7
997	2636	5
998	2639	2
999	2641	0
